entry_type	internal_speaker_id	source_speaker_id	age	gender	accent	region	candidate	wav	transcript	voice_quality	clarity	leading_silence	pause_behavior	stability	role_suitability	selected_reference_choice	selected_source_utterance_id	second_pass_status	keep	notes
baseline_active	spk_001	p248	23	F	Indian		primary	wav/spk_001_baseline.wav	Naturally, it was not difficult to find support for these proposals.											
baseline_active	spk_003	p261	26	F	NorthernIrish	Belfast	primary	wav/spk_003_baseline.wav	On Friday, the headteacher and deputy headteacher appeared at the door.											
baseline_active	spk_004	p234	22	F	Scottish	West  Dumfries	primary	wav/spk_004_baseline.wav	I was not overly concerned about this.											
baseline_active	spk_006	p283	24	F	Irish	Cork	primary	wav/spk_006_baseline.wav	Some have accepted it as a miracle without physical explanation.											
baseline_active	spk_007	p251	26	M	Indian		primary	wav/spk_007_baseline.wav	There is , according to legend, a boiling pot of gold at one end.											
baseline_active	spk_008	p245	25	M	Irish	Dublin	primary	wav/spk_008_baseline.wav	However, he will have his work cut out defending his title.											
baseline_active	spk_009	p237	22	M	Scottish	Fife	primary	wav/spk_009_baseline.wav	Some have accepted it as a miracle without physical explanation.											
baseline_active	spk_010	p243	22	M	English	London	primary	wav/spk_010_baseline.wav	In my opinion, any transfer to a foreign club will help him progress.											
baseline_active	spk_011	p256	24	M	English	Birmingham	primary	wav/spk_011_baseline.wav	Attendance at the project is a condition of a probation order.											
baseline_active	spk_012	p252	22	M	Scottish	Edinburgh	primary	wav/spk_012_baseline.wav	The rainbow is a division of white light into many beautiful colors.											
supplemental		p305	19	F	American	Philadelphia	A	wav/p305_a.wav	I would welcome a proper, public discussion on this issue.							B	p305_114	source_listening_selected	maybe	Selected B (p305_114) in second-pass source listening; Higgs review pending.
supplemental		p305	19	F	American	Philadelphia	B	wav/p305_b.wav	We have the experience, the courses, and an abundance of confidence.							B	p305_114	source_listening_selected	maybe	Selected B (p305_114) in second-pass source listening; Higgs review pending.
supplemental		p308	18	F	American	Alabama	A	wav/p308_a.wav	At present it is fairly uncommon, but its incidence is increasing.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p308	18	F	American	Alabama	B	wav/p308_b.wav	He is only now regaining his confidence.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p298	19	M	Irish	Tipperary	A	wav/p298_a.wav	It was an easy decision to come here.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p298	19	M	Irish	Tipperary	B	wav/p298_b.wav	Last night, however, other experts were cautious about the claim.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p334	18	M	American	Chicago	A	wav/p334_a.wav	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p334	18	M	American	Chicago	B	wav/p334_b.wav	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p343	27	F	Canadian	Alberta	A	wav/p343_a.wav	Throughout the centuries people have explained the rainbow in various ways.							A	p343_012	source_listening_selected	maybe	Selected A (p343_012) in second-pass source listening; Higgs review pending.
supplemental		p343	27	F	Canadian	Alberta	B	wav/p343_b.wav	Some have accepted it as a miracle without physical explanation.							A	p343_012	source_listening_selected	maybe	Selected A (p343_012) in second-pass source listening; Higgs review pending.
supplemental		p362	29	F	American		A	wav/p362_a.wav	We've always had three options, and none of them are perfect.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p362	29	F	American		B	wav/p362_b.wav	Ask her to bring these things with her from the store.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p281	29	M	Scottish	Edinburgh	A	wav/p281_a.wav	But, after a dip in sales, growth was recorded.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p281	29	M	Scottish	Edinburgh	B	wav/p281_b.wav	However, he will now have to wait for his chance to impress.										no	Rejected in first-pass human source listening: insufficient clarity / intelligibility.
supplemental		p227	38	M	English	Cumbria	A	wav/p227_a.wav	They included certain insurance policies, and his share of the house.							B	p227_020	source_listening_selected	maybe	Selected B (p227_020) in second-pass source listening; Higgs review pending.
supplemental		p227	38	M	English	Cumbria	B	wav/p227_b.wav	Many complicated ideas about the rainbow have been formed.							B	p227_020	source_listening_selected	maybe	Selected B (p227_020) in second-pass source listening; Higgs review pending.
supplemental		p294	33	F	American	San  Francisco	A	wav/p294_a.wav	Throughout the centuries people have explained the rainbow in various ways.							B	p294_017	source_listening_selected	maybe	Selected B (p294_017) in second-pass source listening; Higgs review pending.
supplemental		p294	33	F	American	San  Francisco	B	wav/p294_b.wav	Others have tried to explain the phenomenon physically.							B	p294_017	source_listening_selected	maybe	Selected B (p294_017) in second-pass source listening; Higgs review pending.
supplemental		p318	32	F	American	Napa	A	wav/p318_a.wav	Their conditions are described as serious but stable.							A	p318_051	source_listening_selected	maybe	Selected A (p318_051) in second-pass source listening; Higgs review pending.
supplemental		p318	32	F	American	Napa	B	wav/p318_b.wav	I was a spectator, that is as far as it goes.							A	p318_051	source_listening_selected	maybe	Selected A (p318_051) in second-pass source listening; Higgs review pending.
