source_speaker_id	rank	age	gender	accent	region	source_utterance_id	duration_sec	transcript	audio_path
p225	1	23	F	English	Southern  England	p225_202	5.010667	The occasion was the New Labour conference in Brighton last year.	wav48_silence_trimmed/p225/p225_202_mic1.flac
p225	2	23	F	English	Southern  England	p225_039	4.940896	However, the decision has been welcomed by Scottish Enterprise officials.	wav48_silence_trimmed/p225/p225_039_mic1.flac
p225	3	23	F	English	Southern  England	p225_331	5.061521	Ms Anderson yesterday put a brave face on the departure.	wav48_silence_trimmed/p225/p225_331_mic1.flac
p225	4	23	F	English	Southern  England	p225_315	5.14875	The confidence is low, but it is a difficult thing to understand.	wav48_silence_trimmed/p225/p225_315_mic1.flac
p225	5	23	F	English	Southern  England	p225_169	5.160958	Irvine said his company was intent on supporting the Scottish dairy industry.	wav48_silence_trimmed/p225/p225_169_mic1.flac
p226	1	22	M	English	Surrey	p226_084	5.011542	I would think about the end of January, the beginning of February.	wav48_silence_trimmed/p226/p226_084_mic1.flac
p226	2	22	M	English	Surrey	p226_070	5.014833	There was a tremendous amount of anger and frustration in that music.	wav48_silence_trimmed/p226/p226_070_mic1.flac
p226	3	22	M	English	Surrey	p226_221	4.982	Friends of the Earth Scotland last night welcomed the announcement.	wav48_silence_trimmed/p226/p226_221_mic1.flac
p226	4	22	M	English	Surrey	p226_305	4.971521	A police inquiry began about two weeks before the General Election.	wav48_silence_trimmed/p226/p226_305_mic1.flac
p226	5	22	M	English	Surrey	p226_235	4.928187	Police later said the scheme would end in November.	wav48_silence_trimmed/p226/p226_235_mic1.flac
p227	1	38	M	English	Cumbria	p227_010	4.909021	People look, but no one ever finds it.	wav48_silence_trimmed/p227/p227_010_mic1.flac
p227	2	38	M	English	Cumbria	p227_244	4.886167	They included certain insurance policies, and his share of the house.	wav48_silence_trimmed/p227/p227_244_mic1.flac
p227	3	38	M	English	Cumbria	p227_193	4.884792	It was only later that the condition was diagnosed.	wav48_silence_trimmed/p227/p227_193_mic1.flac
p227	4	38	M	English	Cumbria	p227_177	4.845958	The expansions will be financed by the Clydesdale Bank.	wav48_silence_trimmed/p227/p227_177_mic1.flac
p227	5	38	M	English	Cumbria	p227_020	4.833146	Many complicated ideas about the rainbow have been formed.	wav48_silence_trimmed/p227/p227_020_mic1.flac
p228	1	22	F	English	Southern  England	p228_286	4.999604	I have tonight resigned as a member of the European Commission.	wav48_silence_trimmed/p228/p228_286_mic1.flac
p228	2	22	F	English	Southern  England	p228_354	4.988875	He is very concerned about his fitness as a footballer.	wav48_silence_trimmed/p228/p228_354_mic1.flac
p228	3	22	F	English	Southern  England	p228_277	5.012562	Russian officials have not determined the cause of the accident.	wav48_silence_trimmed/p228/p228_277_mic1.flac
p228	4	22	F	English	Southern  England	p228_102	5.017479	We have always maintained that we would never abandon Scottish football.	wav48_silence_trimmed/p228/p228_102_mic1.flac
p228	5	22	F	English	Southern  England	p228_129	5.027208	An announcement on his replacement is expected within three weeks.	wav48_silence_trimmed/p228/p228_129_mic1.flac
p229	1	23	F	English	Southern  England	p229_329	4.985938	On Thursday, Mr Blair will address the Institute of Public Policy Research.	wav48_silence_trimmed/p229/p229_329_mic1.flac
p229	2	23	F	English	Southern  England	p229_154	5.11675	Alice, the girl, was said by doctors to be in good condition.	wav48_silence_trimmed/p229/p229_154_mic1.flac
p229	3	23	F	English	Southern  England	p229_178	4.782958	Customers for the panels include the National Trust for Scotland.	wav48_silence_trimmed/p229/p229_178_mic1.flac
p229	4	23	F	English	Southern  England	p229_006	5.230792	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.	wav48_silence_trimmed/p229/p229_006_mic1.flac
p229	5	23	F	English	Southern  England	p229_015	5.246708	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p229/p229_015_mic1.flac
p230	1	22	F	English	Stockton-on-tees	p230_239	5.00325	No evidence that it was Osama bin Laden.	wav48_silence_trimmed/p230/p230_239_mic1.flac
p230	2	22	F	English	Stockton-on-tees	p230_116	4.993104	Lady Thatcher was the only woman with full membership.	wav48_silence_trimmed/p230/p230_116_mic1.flac
p230	3	22	F	English	Stockton-on-tees	p230_190	5.033333	It was only later that the condition was diagnosed.	wav48_silence_trimmed/p230/p230_190_mic1.flac
p230	4	22	F	English	Stockton-on-tees	p230_259	5.067479	Manager Bobby Williamson has no injury worries.	wav48_silence_trimmed/p230/p230_259_mic1.flac
p230	5	22	F	English	Stockton-on-tees	p230_013	5.07325	Some have accepted it as a miracle without physical explanation.	wav48_silence_trimmed/p230/p230_013_mic1.flac
p231	1	23	F	English	Southern  England	p231_005	4.809042	She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.	wav48_silence_trimmed/p231/p231_005_mic1.flac
p231	2	23	F	English	Southern  England	p231_018	4.783854	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.	wav48_silence_trimmed/p231/p231_018_mic1.flac
p231	3	23	F	English	Southern  England	p231_015	4.733812	The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.	wav48_silence_trimmed/p231/p231_015_mic1.flac
p231	4	23	F	English	Southern  England	p231_024	5.345625	This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.	wav48_silence_trimmed/p231/p231_024_mic1.flac
p231	5	23	F	English	Southern  England	p231_006	4.526125	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.	wav48_silence_trimmed/p231/p231_006_mic1.flac
p232	1	23	M	English	Southern  England	p232_014	5.009542	To the Hebrews it was a token that there would be no more universal floods.	wav48_silence_trimmed/p232/p232_014_mic1.flac
